Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-21 12:00:00,132191.98,132191.98,131860.98,131951.84,0.0,0.0,0.0
2025-03-21 13:00:00,131936.19,132220.72,131776.39,132119.16,0.0,0.0,0.0
2025-03-21 14:00:00,132177.31,132288.55,132050.62,132169.72,0.0,0.0,0.0
2025-03-21 15:00:00,132195.98,132195.98,131888.41,131888.41,0.0,0.0,0.0
2025-03-21 16:00:00,131871.45,132277.22,131803.97,132190.64,0.0,0.0,0.0
2025-03-24 10:00:00,132343.95,132424.44,131610.19,131933.5,0.0,0.0,0.0
2025-03-24 11:00:00,131954.72,132346.66,131876.09,132130.03,0.0,0.0,0.0
2025-03-24 12:00:00,132170.02,132170.02,131871.27,131998.02,0.0,0.0,0.0
2025-03-24 13:00:00,131972.38,131972.38,131711.81,131839.77,0.0,0.0,0.0
2025-03-24 14:00:00,131851.67,131851.67,131037.88,131037.88,0.0,0.0,0.0
2025-03-24 15:00:00,131046.39,131235.78,130991.87,131103.56,0.0,0.0,0.0
2025-03-24 16:00:00,131097.52,131446.52,131010.04,131275.53,0.0,0.0,0.0
2025-03-25 10:00:00,131326.62,132690.98,131325.36,132589.69,0.0,0.0,0.0
2025-03-25 11:00:00,132585.48,133126.19,132550.17,133027.55,0.0,0.0,0.0
2025-03-25 12:00:00,133076.62,133471.08,133031.2,133274.23,0.0,0.0,0.0
2025-03-25 13:00:00,133288.78,133288.78,132524.09,132740.83,0.0,0.0,0.0
2025-03-25 14:00:00,132739.89,132818.48,132298.66,132360.41,0.0,0.0,0.0
2025-03-25 15:00:00,132373.02,132439.3,132128.2,132272.67,0.0,0.0,0.0
2025-03-25 16:00:00,132215.66,132282.05,132000.31,132133.38,0.0,0.0,0.0
2025-03-26 10:00:00,132069.02,132878.72,132068.02,132577.09,0.0,0.0,0.0
2025-03-26 11:00:00,132539.12,132877.38,132441.88,132467.95,0.0,0.0,0.0
2025-03-26 12:00:00,132420.28,132659.52,132401.12,132454.8,0.0,0.0,0.0
2025-03-26 13:00:00,132465.59,132983.92,132446.7,132524.27,0.0,0.0,0.0
2025-03-26 14:00:00,132490.8,132504.56,132220.66,132430.44,0.0,0.0,0.0
2025-03-26 15:00:00,132421.52,132642.27,132330.61,132366.48,0.0,0.0,0.0
2025-03-26 16:00:00,132412.09,132691.3,132336.81,132634.98,0.0,0.0,0.0
2025-03-27 10:00:00,132522.19,133140.52,132478.98,132968.77,0.0,0.0,0.0
2025-03-27 11:00:00,132951.31,133131.19,132765.67,132869.88,0.0,0.0,0.0
2025-03-27 12:00:00,132878.09,133696.12,132878.09,133602.3,0.0,0.0,0.0
2025-03-27 13:00:00,133598.61,133756.69,133416.27,133585.91,0.0,0.0,0.0
2025-03-27 14:00:00,133588.59,133904.38,133160.92,133160.92,0.0,0.0,0.0
2025-03-27 15:00:00,133146.23,133426.98,133088.83,133230.23,0.0,0.0,0.0
2025-03-27 16:00:00,133243.38,133340.45,132856.7,133044.5,0.0,0.0,0.0
2025-03-28 10:00:00,133143.44,133143.44,132403.94,132558.81,0.0,0.0,0.0
2025-03-28 11:00:00,132530.45,132530.45,131411.02,131415.11,0.0,0.0,0.0
2025-03-28 12:00:00,131418.8,131686.44,131367.88,131679.3,0.0,0.0,0.0
2025-03-28 13:00:00,131649.91,131755.8,131443.02,131443.02,0.0,0.0,0.0
2025-03-28 14:00:00,131445.17,131823.55,131315.06,131823.55,0.0,0.0,0.0
