Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2026-01-22,^BVSP,open_vs_prev_open,166277.91,2026-01-21 10:00:00,SELL,2%,169603.47,2026-01-22 10:00:00,,0.0075,0.0075,170875.5,168331.44,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.002,0.002,170931.86,170249.5,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.002,0.005,170931.86,169737.73,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.002,0.0075,170931.86,169311.25,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.005,0.002,171443.63,170249.5,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.005,0.005,171443.63,169737.73,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.005,0.0075,171443.63,169311.25,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.0075,0.002,171870.11,170249.5,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.0075,0.005,171870.11,169737.73,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,1%,170590.68,2026-01-22 10:00:00,,0.0075,0.0075,171870.11,169311.25,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.002,0.002,172624.25,171935.13,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.002,0.005,172624.25,171418.29,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.002,0.0075,172624.25,170987.59,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.005,0.002,173141.09,171935.13,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.005,0.005,173141.09,171418.29,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.005,0.0075,173141.09,170987.59,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.0075,0.002,173571.79,171935.13,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.0075,0.005,173571.79,171418.29,False
2026-01-22,^BVSP,open_vs_prev_max_vol_close,168901.66,2026-01-21 10:00:00,SELL,2%,172279.69,2026-01-22 10:00:00,,0.0075,0.0075,173571.79,170987.59,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.002,0.002,173602.11,172909.09,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.002,0.005,173602.11,172389.32,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.002,0.0075,173602.11,171956.18,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.005,0.002,174121.88,172909.09,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.005,0.005,174121.88,172389.32,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.005,0.0075,174121.88,171956.18,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.0075,0.002,174555.02,172909.09,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.0075,0.005,174555.02,172389.32,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,,0.0075,0.0075,174555.02,171956.18,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.002,0.002,175320.94,174621.06,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.002,0.005,175320.94,174096.14,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.002,0.0075,175320.94,173658.72,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.005,0.002,175845.86,174621.06,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.005,0.005,175845.86,174096.14,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.005,0.0075,175845.86,173658.72,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.0075,0.002,176283.28,174621.06,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.0075,0.005,176283.28,174096.14,False
2026-01-22,^BVSP,open_vs_prev_close,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,,0.0075,0.0075,176283.28,173658.72,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.002,0.002,173602.11,172909.09,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.002,0.005,173602.11,172389.32,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.002,0.0075,173602.11,171956.18,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.005,0.002,174121.88,172909.09,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.005,0.005,174121.88,172389.32,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.005,0.0075,174121.88,171956.18,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.0075,0.002,174555.02,172909.09,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.0075,0.005,174555.02,172389.32,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,1%,173255.6,2026-01-22 11:00:00,171540.2,0.0075,0.0075,174555.02,171956.18,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,171540.2,0.002,0.002,175320.94,174621.06,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,171540.2,0.002,0.005,175320.94,174096.14,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,171540.2,0.002,0.0075,175320.94,173658.72,False
2026-01-22,^BVSP,open_vs_prev_max_high,171540.2,2026-01-21 16:00:00,SELL,2%,174971.0,2026-01-22 11:00:00,171540.2,0.005,0.002,175845.86,174621.06,False
